ruta_id,nombre
GRPIAA,X-EM47-I,4261592,http://www.openstreetmap.org/relation/4261592
GRPIAA,X-EM47A-I,4261607,http://www.openstreetmap.org/relation/4261607
GRPIAA,X-EM48-I,4261629,http://www.openstreetmap.org/relation/4261629
GRPIAA,X-EM48A-I,4261655,http://www.openstreetmap.org/relation/4261655
GRPIAA,X-EM48B-I,4267328,http://www.openstreetmap.org/relation/4267328
GRPIAA3,X-EM49-I,4269638,http://www.openstreetmap.org/relation/4269638
GRPIAA3,X-EM53-I,4269667,http://www.openstreetmap.org/relation/4269667
GRPIAA3,X-EM54-I,4270170,http://www.openstreetmap.org/relation/4270170
GRPIAA3,X-EM55-I,4270204,http://www.openstreetmap.org/relation/4270204
GRPIAA3,X-EM55A-I,4270225,http://www.openstreetmap.org/relation/4270225
GRPIAA3,X-EM58-I,4273938,http://www.openstreetmap.org/relation/4273938
GRPIAA,X-EM58A-I,4273943,http://www.openstreetmap.org/relation/4273943
GRPIAA,X-EM58B-I,4273945,http://www.openstreetmap.org/relation/4273945
GRPIAA3,X-EM59-I,4273973,http://www.openstreetmap.org/relation/4273973
GRPIAA3,X-EM62A-I,4275106,http://www.openstreetmap.org/relation/4275106
GRPIAA3,X-EM62B-I,4275199,http://www.openstreetmap.org/relation/4275199
GRPIAA,X-EM64-I,4275251,http://www.openstreetmap.org/relation/4275251
GRPIAA,X-EM65-I,4275312,http://www.openstreetmap.org/relation/4275312
GRPIAA,X-EM67-I,4276570,http://www.openstreetmap.org/relation/4276570
GRPIAA,X-EM71-I,4276585,http://www.openstreetmap.org/relation/4276585
GRPIAA,X-EM72-I,4276630,http://www.openstreetmap.org/relation/4276630
GRPIAA,X-EM73-I,4276653,http://www.openstreetmap.org/relation/4276653
GRPIAA3,X-EM74-I,4276660,http://www.openstreetmap.org/relation/4276660
GRPIAA,X-EM75-I,4276666,http://www.openstreetmap.org/relation/4276666
GRPIAA3,X-EM76-I,4439267,http://www.openstreetmap.org/relation/4439267
