asignado_a,nombre_ruta,id,url
Fio,X-IM51_I,4522217,http://www.openstreetmap.org/relation/4522217
Fio,X-IM52_I,4522321,http://www.openstreetmap.org/relation/4522321
Fio,X-IM53_I,4522665,http://www.openstreetmap.org/relation/4522665
Fio,X-IM54_I,4523915,http://www.openstreetmap.org/relation/4523915
Fio,X-IM54_I,4525304,http://www.openstreetmap.org/relation/4525304
Fio,X-IM57_I,4525408,http://www.openstreetmap.org/relation/4525408
Fio,X-IO01_I,4537215,http://www.openstreetmap.org/relation/4537215
Fio,X-IO03_I,4537820,http://www.openstreetmap.org/relation/4537820
Fio,X-IO04_I,4538026,http://www.openstreetmap.org/relation/4538026
Fio,X-IO06_I,4538948,http://www.openstreetmap.org/relation/4538948
Fio,X-IO07_I,4540483,http://www.openstreetmap.org/relation/4540483
Fio,X-IO09_I,4540969,http://www.openstreetmap.org/relation/4540969
Fio,X-IO100_I,4542795,http://www.openstreetmap.org/relation/4542795
Fio,X-IO11_I,4546164,http://www.openstreetmap.org/relation/4546164
Fio,X-IO12_I,4546344,http://www.openstreetmap.org/relation/4546344
Fio,X-IO13_I,4547081,http://www.openstreetmap.org/relation/4547081
Fio,X-IO15_I,4552558,http://www.openstreetmap.org/relation/4552558
Fio,X-IO18B_I,4552717,http://www.openstreetmap.org/relation/4552717
Fio,X-IO18_I,4552970,http://www.openstreetmap.org/relation/4552970
Fio,X-IO19_I,4553561,http://www.openstreetmap.org/relation/4553561
Fio,X-IO20_I,4553831,http://www.openstreetmap.org/relation/4553831
Fio,X-IO23_I,4553981,http://www.openstreetmap.org/relation/4553981
Fio,X-IO27_I,4554709,http://www.openstreetmap.org/relation/4554709
Fio,X-IO28_I,4554819,http://www.openstreetmap.org/relation/4554819
Fio,X-IO28B_I,4555083,http://www.openstreetmap.org/relation/4555083
Fio,X-IO30_I,4555747,http://www.openstreetmap.org/relation/4555747
Fio,X-IO30B_I,4555931,http://www.openstreetmap.org/relation/4555931
Fio,X-IO31_I,4557990,http://www.openstreetmap.org/relation/4557990
