usuario,id_ruta,tipo_error,link
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-11.99763/-77.1253029
GRPIAA3,4210264,4,www.openstreetmap.org/relation/4210264#map=19/-12.0602491/-77.0409975
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-11.9965573/-77.1261718
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-11.996677/-77.126185
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-11.9975163/-77.1256255
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-12.0218708/-77.1065017
GRPIAA3,4210264,1,www.openstreetmap.org/relation/4210264#map=19/-12.0607103/-77.0417995
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-11.8786832/-77.1269439
GRPIAA3,4210264,3,www.openstreetmap.org/relation/4210264#map=19/-11.8789628/-77.126781
GRPIAA,4211259,3,www.openstreetmap.org/relation/4211259#map=19/-12.0396415/-76.9870983
GRPIAA,4211259,5,www.openstreetmap.org/relation/4211259#map=19/-12.0606731/-77.0418616
GRPIAA,4211259,3,www.openstreetmap.org/relation/4211259#map=19/-12.0396176/-76.9873974
GRPIAA,4211259,3,www.openstreetmap.org/relation/4211259#map=19/-12.0606567/-77.041203
GRPIAA,4211259,3,www.openstreetmap.org/relation/4211259#map=19/-12.0601489/-77.03625
GRPIAA,4211259,3,www.openstreetmap.org/relation/4211259#map=19/-12.0602361/-77.0360464
GRPIAA,4211259,3,www.openstreetmap.org/relation/4211259#map=19/-12.0607103/-77.0417995
GRPIAA,4211259,1,www.openstreetmap.org/relation/4211259#map=19/-12.0285661/-76.96232
GRPIAA,4211259,3,www.openstreetmap.org/relation/4211259#map=19/-12.0607307/-77.0413332
GRPIAA,4211259,3,www.openstreetmap.org/relation/4211259#map=19/-12.0486391/-76.972702
GRPIAA,4211259,3,www.openstreetmap.org/relation/4211259#map=19/-12.0402341/-76.9841072
GRPIAA,4211259,1,www.openstreetmap.org/relation/4211259#map=19/-12.0419206/-77.1063973
GRPIAA,4211259,3,www.openstreetmap.org/relation/4211259#map=19/-12.040103/-76.9844749
GRPIAA,4211259,3,www.openstreetmap.org/relation/4211259#map=19/-12.0487183/-76.972667
GRPIAA3,4213726,1,www.openstreetmap.org/relation/4213726#map=19/-12.1140143/-77.0370205
GRPIAA3,4213726,1,www.openstreetmap.org/relation/4213726#map=19/-12.0970713/-77.0719776
GRPIAA3,4213726,1,www.openstreetmap.org/relation/4213726#map=19/-12.0433155/-77.1359404
GRPIAA3,4213726,1,www.openstreetmap.org/relation/4213726#map=19/-12.0839745/-76.9731006
GRPIAA3,4213726,1,www.openstreetmap.org/relation/4213726#map=19/-12.1140302/-77.0368446
GRPIAA3,4213726,1,www.openstreetmap.org/relation/4213726#map=19/-12.0970841/-77.0719427
GRPIAA3,4213753,1,www.openstreetmap.org/relation/4213753#map=19/-12.0516244/-77.1336651
GRPIAA3,4213753,1,www.openstreetmap.org/relation/4213753#map=19/-12.0828948/-76.9701413
