id_ruta,tipo_error,link
4185910,5,www.openstreetmap.org/relation/4185910#map=19/-12.0763351/-77.1130517
4185910,3,www.openstreetmap.org/relation/4185910#map=19/-12.0772241/-77.1105358
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1077723/-77.0539426
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.112713/-77.0137143
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.10721/-77.0544833
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0845854/-77.0954361
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0848969/-77.0947599
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0851911/-77.0941215
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0861117/-77.0921234
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0836903/-77.0974511
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0857473/-77.0929143
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.0853596/-77.0937558
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1038783/-77.0575389
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1064631/-77.05517
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.098329/-77.068573
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1057833/-77.055788
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1098337/-77.051933
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1117969/-77.0000433
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.112594/-77.011613
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1049693/-77.0565261
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1115328/-76.9963328
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1134435/-77.0243942
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1116943/-76.9986271
4185910,4,www.openstreetmap.org/relation/4185910#map=19/-12.1133714/-77.0233526
