idnodo|longitud|latitud
22745|-77.0896548|-12.0260016
98846|-77.0797315|-11.8391714
44427|-76.8839537|-12.0288398
44426|-76.8825225|-12.0294803
44425|-77.1750978|-11.7950772
44424|-76.957947|-12.13068
44423|-76.958985|-12.131932
44422|-77.1188146|-11.8287393
44421|-77.1186192|-11.8283292
44420|-77.1183827|-11.8278195
44429|-76.9079621|-12.1994085
44428|-76.8846938|-12.0285248
29929|-76.9650838|-12.1732161
40327|-77.0748706|-12.0711069
29927|-77.023697|-12.081205
27619|-77.0617321|-11.9211007
27618|-77.0619488|-11.9215138
27617|-77.0637287|-11.9247
27616|-77.063788|-11.9248182
27615|-77.065688|-11.927913
27614|-77.0480393|-11.9099994
27613|-77.0489652|-11.9117104
27612|-77.0506171|-11.9153121
27611|-77.0501737|-11.9155515
27610|-77.0494506|-11.915942
43268|-76.9838365|-12.194059
97938|-77.0411939|-11.9809266
97931|-76.9179381|-12.187303
97930|-76.9195018|-12.1946647
97933|-77.1601616|-11.8321979
97932|-77.1600569|-11.8345156
97935|-77.1518854|-12.0640389
97934|-77.0593214|-12.0480894
97937|-77.1425261|-12.0634207
97936|-77.0537646|-12.0073521
65888|-77.0024178|-12.054306
65889|-77.0088813|-12.0510707
8549|-77.1203056|-12.0429956
8548|-77.1181142|-12.0437071
8545|-77.1163416|-12.0449375
8544|-77.1164128|-12.0441944
8547|-77.1163091|-12.0456941
8546|-77.1163032|-12.0453103
8541|-77.1176127|-12.0436238
8540|-77.1170421|-12.0437104
8543|-77.117384|-12.0425249
8542|-77.1180799|-12.0435392
92262|-77.0597315|-12.0349941
92263|-77.06082|-12.0348315
92260|-77.0595434|-12.0351595
92261|-77.0575951|-12.0335675
92266|-77.0394228|-12.0376212
92267|-77.043368|-12.0379627
92264|-77.0780272|-12.0295318
92265|-77.0540554|-12.034234
92268|-77.0408247|-12.0374172
92269|-77.0507706|-12.037392
66504|-77.0846643|-11.9439498
66505|-77.0845169|-11.9435544
50419|-76.9240355|-12.2371072
50418|-76.9245508|-12.2374016
66500|-77.0714509|-11.9458255
66501|-77.0854428|-11.9491291
66502|-77.0856546|-11.9473411
66503|-77.0848075|-11.9443264
50413|-76.969818|-12.174971
50412|-76.957483|-12.0544213
50411|-77.0221958|-12.0673253
50410|-76.9862628|-12.1901616
50417|-76.925116|-12.2377244
66509|-77.0794418|-11.9465972
50415|-76.9261679|-12.2383252
50414|-76.926377|-12.2384446
88395|-77.0135175|-11.8719167
88394|-77.0142542|-11.8715384
88397|-77.0285558|-11.8657276
52811|-76.9813741|-12.0433125
52810|-76.9371125|-12.0284286
52813|-76.9356962|-12.0362507
52812|-76.935223|-12.0372568
52815|-76.927848|-12.1806066
52814|-76.9358927|-12.0358035
52817|-76.9459686|-12.2089611
52816|-76.9463639|-12.2091893
52819|-76.9849374|-12.0771516
52818|-76.9213994|-12.1676247
82994|-77.129553|-11.8469744
60902|-76.9935223|-11.9627995
8291|-77.1137414|-12.0428293
60900|-76.9891959|-11.9800255
60901|-76.9940019|-11.9624909
60906|-76.9918405|-11.9639202
60907|-76.9913224|-11.9631853
26568|-77.1592474|-11.7773726
26569|-77.1602341|-11.7774487
26566|-77.1577275|-11.7881463
