ID|NAME|TIPO|geom|idzona
4386|Antonio Raymondi|5|SRID=4326;LINESTRING (-77.014205 -12.058082,-77.01593 -12.058729)|0
4390|Junin|5|SRID=4326;LINESTRING (-77.008477 -12.05777,-77.007301 -12.058775)|0
4410|Oscar R. Benavides|1|SRID=4326;LINESTRING (-77.064885 -12.048644,-77.067292 -12.048896)|0
4416|Argentina|1|SRID=4326;LINESTRING (-77.065223 -12.045497,-77.069707 -12.045911)|0
4424|Alfonso Ugarte (Aux)|1|SRID=4326;LINESTRING (-77.041947 -12.056254,-77.042002 -12.056335,-77.041847 -12.058112)|0
4428|Alfonso Ugarte (Aux)|1|SRID=4326;LINESTRING (-77.041631 -12.05965,-77.041553 -12.059554,-77.041696 -12.058102)|0
4430|Arica|1|SRID=4326;LINESTRING (-77.045834 -12.05895,-77.047088 -12.058551)|0
4431|General Varela|5|SRID=4326;LINESTRING (-77.045834 -12.05895,-77.045845 -12.058416)|0
4433|Jorge Chavez|5|SRID=4326;LINESTRING (-77.047088 -12.058551,-77.050642 -12.062721)|0
4438|Iquique|5|SRID=4326;LINESTRING (-77.043195 -12.056344,-77.043053 -12.058179)|0
4444|Washington|5|SRID=4326;LINESTRING (-77.039034 -12.060057,-77.039207 -12.058011)|0
4447|Inca Garcilazo De La Vega|2|SRID=4326;LINESTRING (-77.038041 -12.057918,-77.03785 -12.059957)|0
4453|Ayacucho|5|SRID=4326;LINESTRING (-77.028533 -12.057643,-77.028385 -12.058901)|0
4458|Materiales|5|SRID=4326;LINESTRING (-77.067905 -12.041077,-77.074775 -12.041766)|0
4464|Universitaria|1|SRID=4326;LINESTRING (-77.080886 -12.055969,-77.08001 -12.056861,-77.079637 -12.057834,-77.079145 -12.060118)|0
4470|Venezuela|1|SRID=4326;LINESTRING (-77.068436 -12.05792,-77.072924 -12.058874)|0
10192|Nicolas Ayllon|4|SRID=4326;LINESTRING (-76.968965 -12.056746,-76.968287 -12.056463,-76.968154 -12.056334)|0
10143||5|SRID=4326;LINESTRING (-77.077421 -12.059829,-77.077584 -12.059066,-77.07796 -12.05753,-77.078161 -12.056151,-77.078121 -12.055561,-77.077852 -12.054865,-77.077718 -12.054419)|0
4476|Mariano Cornejo|2|SRID=4326;LINESTRING (-77.077752 -12.068574,-77.075021 -12.067895,-77.073676 -12.067869)|0
4488|Napo|5|SRID=4326;LINESTRING (-77.052177 -12.057105,-77.056169 -12.061716)|0
4493|Chamaya|5|SRID=4326;LINESTRING (-77.058192 -12.060023,-77.054969 -12.05627)|0
4495|Tingo Maria|2|SRID=4326;LINESTRING (-77.0581 -12.057857,-77.058408 -12.058633,-77.058614 -12.0597)|0
4499|Juan Crespo Y Castillo|5|SRID=4326;LINESTRING (-77.077468 -12.037488,-77.075837 -12.037179,-77.074006 -12.036835,-77.073013 -12.036658,-77.07219 -12.036567,-77.070276 -12.036492,-77.068181 -12.036425,-77.066116 -12.036351)|0
4504|Brasil|1|SRID=4326;LINESTRING (-77.069352 -12.093996,-77.070795 -12.095741)|0
4505|Brasil (Aux)|5|SRID=4326;LINESTRING (-77.069352 -12.093996,-77.069417 -12.094006,-77.070793 -12.095679,-77.070795 -12.095741)|0
4506|Miguel Grau|5|SRID=4326;LINESTRING (-77.069352 -12.093996,-77.071057 -12.093387)|0
4510|Brasil (Aux)|5|SRID=4326;LINESTRING (-77.070795 -12.095741,-77.070721 -12.09572,-77.069321 -12.094047,-77.069352 -12.093996)|0
4514|Simon Bolivar|2|SRID=4326;LINESTRING (-77.075676 -12.070912,-77.073359 -12.071415,-77.071164 -12.071918,-77.070019 -12.072148,-77.068857 -12.072277)|0
4524|Oscar R. Benavides|1|SRID=4326;LINESTRING (-77.121561 -12.058257,-77.126766 -12.058904)|0
