usuario,nombre_ruta,id_ruta,tipo_error,link
Ale,X-CR44-I,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-11.9947399/-77.117396
Ale,X-CR44-I,4217348,6,www.openstreetmap.org/relation/4217348#map=19/-12.0546468/-76.9646725
Ale,X-CR44-I,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.0265776/-76.8934506
Ale,X-CR44-I,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0290273/-76.9964366
Ale,X-CR44-I,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0298649/-77.0943819
Ale,X-CR44-I,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0012099/-77.1060732
Ale,X-CR44-I,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0381435/-77.0380517
Ale,X-CR44-I,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.0288059/-76.9239989
Ale,X-CR44-I,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-11.9989159/-77.1212254
Ale,X-CR44-I,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0199718/-77.1010006
Ale,X-CR44-I,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.0282754/-76.9234777
Ale,X-CR44-I,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.017045/-77.0981708
Ale,X-CR44-I,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.0313984/-77.0807617
Ale,X-CR44-I,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.035729/-77.0458068
Ale,X-CR44-I,4217348,4,www.openstreetmap.org/relation/4217348#map=19/-12.033002/-77.0538109
Ale,X-CR44-I,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-11.9947924/-77.1175998
Ale,X-CR44-I,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-12.031368/-77.0810207
Ale,X-CR44-I,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0315926/-77.004777
Ale,X-CR44-I,4217348,4,www.openstreetmap.org/relation/4217348#map=19/-12.0546175/-76.9646063
Ale,X-CR44-I,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0010892/-77.1061352
Ale,X-CR44-I,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0187743/-76.8981522
Ale,X-CR44-I,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0190072/-76.8988501
Ale,X-CR44-I,4217348,4,www.openstreetmap.org/relation/4217348#map=19/-12.054681/-76.9647508
Ale,X-CR44-I,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-11.9964987/-77.1126618
Ale,X-CR44-I,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-11.9965958/-77.1126127
Ale,X-CR45-I,4218929,1,www.openstreetmap.org/relation/4218929#map=19/-12.0460958/-77.0430896
Ale,X-CR45-I,4218929,1,www.openstreetmap.org/relation/4218929#map=19/-12.0681494/-77.1578943
Ale,X-CR46-I,4218937,1,www.openstreetmap.org/relation/4218937#map=19/-12.0460958/-77.0430896
Ale,X-CR46-I,4218937,1,www.openstreetmap.org/relation/4218937#map=19/-12.0732416/-77.1642183
Ale,X-CR47-I,4218948,1,www.openstreetmap.org/relation/4218948#map=19/-12.0543552/-77.0406009
Ale,X-CR47-I,4218948,1,www.openstreetmap.org/relation/4218948#map=19/-12.0477498/-77.1184438
Ale,X-CR48-I,4218959,1,www.openstreetmap.org/relation/4218959#map=19/-12.0543552/-77.0406009
Ale,X-CR48-I,4218959,1,www.openstreetmap.org/relation/4218959#map=19/-12.0505253/-77.1344028
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0437076/-77.0434665
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0681782/-77.1330777
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0505253/-77.1344028
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0491384/-77.0537348
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0489482/-77.0452684
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0657274/-77.1195709
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0658358/-77.1192574
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0655831/-77.1197589
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0631907/-77.142733
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.063565/-77.1425217
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0503019/-77.1344453
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.049205/-77.1356209
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0653956/-77.118737
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.067934/-77.134257
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0682454/-77.1342965
Ale,X-CR49-I,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0678922/-77.1329328
Ale,X-CR51-I,4220163,4,www.openstreetmap.org/relation/4220163#map=19/-11.9890498/-77.0570225
Ale,X-CR51-I,4220163,4,www.openstreetmap.org/relation/4220163#map=19/-11.9890274/-77.0569318
Ale,X-CR51-I,4220163,1,www.openstreetmap.org/relation/4220163#map=19/-12.0392719/-77.0991481
Ale,X-CR51-I,4220163,3,www.openstreetmap.org/relation/4220163#map=19/-12.0703136/-77.1094447
Ale,X-CR51-I,4220163,3,www.openstreetmap.org/relation/4220163#map=19/-12.0784118/-77.1109944
Ale,X-CR51-I,4220163,1,www.openstreetmap.org/relation/4220163#map=19/-12.0763024/-77.1131453
Ale,X-CR51-I,4220163,1,www.openstreetmap.org/relation/4220163#map=19/-12.0785443/-77.1110384
Ale,X-CR51-I,4220163,3,www.openstreetmap.org/relation/4220163#map=19/-11.9800352/-77.0589523
Ale,X-CR51-I,4220163,3,www.openstreetmap.org/relation/4220163#map=19/-11.9797295/-77.0590907
Ale,X-CR51-I,4220163,3,www.openstreetmap.org/relation/4220163#map=19/-11.9890671/-77.0571098
Ale,X-CR51-I,4220163,1,www.openstreetmap.org/relation/4220163#map=19/-11.8926183/-77.039133
Ale,X-CR51-I,4220163,1,www.openstreetmap.org/relation/4220163#map=19/-12.0300774/-77.0944334
Ale,X-CR51-I,4220163,1,www.openstreetmap.org/relation/4220163#map=19/-12.0046527/-77.0621969
Ale,X-CR51-I,4220163,1,www.openstreetmap.org/relation/4220163#map=19/-12.0046977/-77.0627975
Ale,X-CR51-I,4220163,3,www.openstreetmap.org/relation/4220163#map=19/-11.9889998/-77.0568569
Ale,X-CR51-I,4220163,4,www.openstreetmap.org/relation/4220163#map=19/-12.0400992/-77.0991487
Ale,X-CR51-I,4220163,3,www.openstreetmap.org/relation/4220163#map=19/-12.0400547/-77.0991591
Ale,X-CR51-I,4220163,3,www.openstreetmap.org/relation/4220163#map=19/-12.0706149/-77.1095655
Ale,X-CR51-I,4220163,1,www.openstreetmap.org/relation/4220163#map=19/-12.0728285/-77.1117469
Ale,X-CR51-I,4220163,1,www.openstreetmap.org/relation/4220163#map=19/-11.8925244/-77.0388968
Ale,X-CR51-I,4220163,1,www.openstreetmap.org/relation/4220163#map=19/-11.8915535/-77.0447557
Ale,X-CR51-I,4220163,1,www.openstreetmap.org/relation/4220163#map=19/-12.0772241/-77.1105358
Ale,X-CR51-I,4220163,3,www.openstreetmap.org/relation/4220163#map=19/-12.0401459/-77.0991024
Ale,X-CR51-I,4220163,4,www.openstreetmap.org/relation/4220163#map=19/-12.0401332/-77.099115
Ale,X-CR52-I,4220287,1,www.openstreetmap.org/relation/4220287#map=19/-12.0647902/-77.0388549
Ale,X-CR52-I,4220287,1,www.openstreetmap.org/relation/4220287#map=19/-12.0600007/-77.0420576
Ale,X-CR52-I,4220287,3,www.openstreetmap.org/relation/4220287#map=19/-12.0601319/-77.0421064
Ale,X-CR52-I,4220287,1,www.openstreetmap.org/relation/4220287#map=19/-12.0505253/-77.1344028
Ale,X-CR52-I,4220287,1,www.openstreetmap.org/relation/4220287#map=19/-12.0644674/-77.0392836
Ale,X-CR52-I,4220287,1,www.openstreetmap.org/relation/4220287#map=19/-12.0640524/-77.0363826
Ale,X-CR52-I,4220287,1,www.openstreetmap.org/relation/4220287#map=19/-12.064647/-77.0375675
Ale,X-CR52-I,4220287,3,www.openstreetmap.org/relation/4220287#map=19/-12.0645186/-77.0393581
Ale,X-CR53-I,4220334,1,www.openstreetmap.org/relation/4220334#map=19/-11.9889137/-77.0571119
Ale,X-CR53-I,4220334,1,www.openstreetmap.org/relation/4220334#map=19/-11.9890671/-77.0571098
Ale,X-CR53-I,4220334,1,www.openstreetmap.org/relation/4220334#map=19/-12.0735168/-77.1239044
Ale,X-CR53-I,4220334,1,www.openstreetmap.org/relation/4220334#map=19/-12.0662199/-77.1179006
Ale,X-CR53-I,4220334,1,www.openstreetmap.org/relation/4220334#map=19/-11.9768962/-77.0473554
Ale,X-CR53-I,4220334,1,www.openstreetmap.org/relation/4220334#map=19/-11.9704163/-77.0411187
Ale,X-CR53-I,4220334,1,www.openstreetmap.org/relation/4220334#map=19/-11.9768059/-77.0473837
Ale,X-CR53-I,4220334,1,www.openstreetmap.org/relation/4220334#map=19/-11.9788736/-77.0547732
Ale,X-CR53-I,4220334,1,www.openstreetmap.org/relation/4220334#map=19/-12.0648071/-77.119668
Ale,X-CR53-I,4220334,1,www.openstreetmap.org/relation/4220334#map=19/-12.0653956/-77.118737
Ale,X-CR53-I,4220334,1,www.openstreetmap.org/relation/4220334#map=19/-11.9789855/-77.0547884
Ale,X-CR53-I,4220334,4,www.openstreetmap.org/relation/4220334#map=19/-12.03657/-77.0994272
Ale,X-CR53-I,4220334,1,www.openstreetmap.org/relation/4220334#map=19/-12.065252/-77.1199273
Ale,X-CR54-I,4220382,1,www.openstreetmap.org/relation/4220382#map=19/-12.0327089/-76.9645519
Ale,X-CR54-I,4220382,4,www.openstreetmap.org/relation/4220382#map=19/-12.0546175/-76.9646063
Ale,X-CR54-I,4220382,3,www.openstreetmap.org/relation/4220382#map=19/-12.0415841/-76.9707945
Ale,X-CR54-I,4220382,1,www.openstreetmap.org/relation/4220382#map=19/-12.0434722/-76.9702982
Ale,X-CR54-I,4220382,1,www.openstreetmap.org/relation/4220382#map=19/-12.0494128/-77.1092344
Ale,X-CR54-I,4220382,3,www.openstreetmap.org/relation/4220382#map=19/-12.0547907/-76.9645725
Ale,X-CR54-I,4220382,3,www.openstreetmap.org/relation/4220382#map=19/-12.040639/-76.971204
Ale,X-CR54-I,4220382,3,www.openstreetmap.org/relation/4220382#map=19/-12.0435264/-76.9700563
Ale,X-CR54-I,4220382,3,www.openstreetmap.org/relation/4220382#map=19/-12.055078/-76.9647961
Ale,X-CR54-I,4220382,1,www.openstreetmap.org/relation/4220382#map=19/-12.0551266/-76.9646574
Ale,X-CR54-I,4220382,1,www.openstreetmap.org/relation/4220382#map=19/-12.0470356/-77.1094537
Ale,X-CR54-I,4220382,3,www.openstreetmap.org/relation/4220382#map=19/-12.0493223/-77.109248
Ale,X-CR54-I,4220382,1,www.openstreetmap.org/relation/4220382#map=19/-12.054681/-76.9647508
Ale,X-CR56-I,4220430,1,www.openstreetmap.org/relation/4220430#map=19/-12.0483151/-77.0447196
Ale,X-CR56-I,4220430,4,www.openstreetmap.org/relation/4220430#map=19/-12.0400992/-77.0991487
Ale,X-CR56-I,4220430,3,www.openstreetmap.org/relation/4220430#map=19/-12.0400547/-77.0991591
Ale,X-CR56-I,4220430,3,www.openstreetmap.org/relation/4220430#map=19/-11.9369066/-77.1308754
Ale,X-CR56-I,4220430,3,www.openstreetmap.org/relation/4220430#map=19/-11.9362329/-77.1308201
Ale,X-CR56-I,4220430,1,www.openstreetmap.org/relation/4220430#map=19/-11.8745372/-77.1086836
Ale,X-CR56-I,4220430,3,www.openstreetmap.org/relation/4220430#map=19/-11.8746482/-77.1087076
Ale,X-CR56-I,4220430,3,www.openstreetmap.org/relation/4220430#map=19/-12.0215331/-77.1060424
Ale,X-CR56-I,4220430,3,www.openstreetmap.org/relation/4220430#map=19/-12.0213613/-77.1062174
Ale,X-CR56-I,4220430,1,www.openstreetmap.org/relation/4220430#map=19/-11.8857941/-77.0966382
Ale,X-CR56-I,4220430,3,www.openstreetmap.org/relation/4220430#map=19/-12.0392981/-77.099218
Ale,X-CR56-I,4220430,3,www.openstreetmap.org/relation/4220430#map=19/-12.039121/-77.0992266
Ale,X-CR56-I,4220430,3,www.openstreetmap.org/relation/4220430#map=19/-12.0401459/-77.0991024
Ale,X-CR56-I,4220430,4,www.openstreetmap.org/relation/4220430#map=19/-12.0401332/-77.099115
Ale,X-CR57-I,4222134,1,www.openstreetmap.org/relation/4222134#map=19/-12.036273/-77.0990454
Ale,X-CR57-I,4222134,1,www.openstreetmap.org/relation/4222134#map=19/-12.0332075/-77.0541229
Ale,X-CR57-I,4222134,1,www.openstreetmap.org/relation/4222134#map=19/-12.0301532/-76.9998153
Ale,X-CR57-I,4222134,1,www.openstreetmap.org/relation/4222134#map=19/-12.0400547/-77.0991591
Ale,X-CR57-I,4222134,1,www.openstreetmap.org/relation/4222134#map=19/-11.943207/-77.1146123
Ale,X-CR57-I,4222134,1,www.openstreetmap.org/relation/4222134#map=19/-12.0300774/-77.0944334
Ale,X-CR57-I,4222134,1,www.openstreetmap.org/relation/4222134#map=19/-12.0353026/-77.0488557
Ale,X-CR57-I,4222134,1,www.openstreetmap.org/relation/4222134#map=19/-12.0319298/-77.0770824
Ale,X-CR57-I,4222134,3,www.openstreetmap.org/relation/4222134#map=19/-12.0319644/-77.074192
Ale,X-CR57-I,4222134,1,www.openstreetmap.org/relation/4222134#map=19/-12.0401459/-77.0991024
Ale,X-CR58-I,4222786,4,www.openstreetmap.org/relation/4222786#map=19/-12.0546175/-76.9646063
Ale,X-CR58-I,4222786,1,www.openstreetmap.org/relation/4222786#map=19/-11.9369066/-77.1308754
Ale,X-CR58-I,4222786,1,www.openstreetmap.org/relation/4222786#map=19/-11.9374317/-77.130912
Ale,X-CR58-I,4222786,1,www.openstreetmap.org/relation/4222786#map=19/-11.9369094/-77.1309491
Ale,X-CR58-I,4222786,1,www.openstreetmap.org/relation/4222786#map=19/-11.9374378/-77.1309806
Ale,X-CR58-I,4222786,1,www.openstreetmap.org/relation/4222786#map=19/-11.943207/-77.1146123
Ale,X-CR58-I,4222786,3,www.openstreetmap.org/relation/4222786#map=19/-12.0215331/-77.1060424
Ale,X-CR58-I,4222786,3,www.openstreetmap.org/relation/4222786#map=19/-12.0213613/-77.1062174
Ale,X-CR58-I,4222786,6,www.openstreetmap.org/relation/4222786#map=19/-12.0546468/-76.9646725
Ale,X-CR58-I,4222786,1,www.openstreetmap.org/relation/4222786#map=19/-12.026436/-76.9206784
Ale,X-CR58-I,4222786,4,www.openstreetmap.org/relation/4222786#map=19/-12.054681/-76.9647508
Ale,X-CR61-I,4222791,1,www.openstreetmap.org/relation/4222791#map=19/-12.0460958/-77.0430896
Ale,X-CR61-I,4222791,1,www.openstreetmap.org/relation/4222791#map=19/-11.8735923/-77.1018933
Ale,X-CR61-I,4222791,4,www.openstreetmap.org/relation/4222791#map=19/-12.03657/-77.0994272
Ale,X-CR65-I,4223687,3,www.openstreetmap.org/relation/4223687#map=19/-12.0784118/-77.1109944
Ale,X-CR65-I,4223687,1,www.openstreetmap.org/relation/4223687#map=19/-12.0776476/-77.1136191
Ale,X-CR65-I,4223687,1,www.openstreetmap.org/relation/4223687#map=19/-12.0785443/-77.1110384
Ale,X-CR65-I,4223687,1,www.openstreetmap.org/relation/4223687#map=19/-12.0046977/-77.0627975
Ale,X-CR65-I,4223687,4,www.openstreetmap.org/relation/4223687#map=19/-12.0400992/-77.0991487
Ale,X-CR65-I,4223687,3,www.openstreetmap.org/relation/4223687#map=19/-12.0400547/-77.0991591
Ale,X-CR65-I,4223687,1,www.openstreetmap.org/relation/4223687#map=19/-11.9160807/-77.0409387
Ale,X-CR65-I,4223687,3,www.openstreetmap.org/relation/4223687#map=19/-11.9162036/-77.0408654
Ale,X-CR65-I,4223687,1,www.openstreetmap.org/relation/4223687#map=19/-12.0046527/-77.0621969
Ale,X-CR65-I,4223687,1,www.openstreetmap.org/relation/4223687#map=19/-12.0872675/-77.0830239
Ale,X-CR65-I,4223687,1,www.openstreetmap.org/relation/4223687#map=19/-12.090546/-77.076542
Ale,X-CR65-I,4223687,3,www.openstreetmap.org/relation/4223687#map=19/-12.0401459/-77.0991024
Ale,X-CR65-I,4223687,4,www.openstreetmap.org/relation/4223687#map=19/-12.0401332/-77.099115
Ale,X-CR65-I,4223687,1,www.openstreetmap.org/relation/4223687#map=19/-11.9124856/-77.0046251
Ale,X-CR69-I,4223798,4,www.openstreetmap.org/relation/4223798#map=19/-11.9890498/-77.0570225
Ale,X-CR69-I,4223798,4,www.openstreetmap.org/relation/4223798#map=19/-11.9890274/-77.0569318
Ale,X-CR69-I,4223798,1,www.openstreetmap.org/relation/4223798#map=19/-12.0833947/-77.0661216
Ale,X-CR69-I,4223798,4,www.openstreetmap.org/relation/4223798#map=19/-12.0400992/-77.0991487
Ale,X-CR69-I,4223798,3,www.openstreetmap.org/relation/4223798#map=19/-12.0400547/-77.0991591
Ale,X-CR69-I,4223798,3,www.openstreetmap.org/relation/4223798#map=19/-11.9800352/-77.0589523
