usuario,ruta,nombre_ruta,tipo1,tipo2,tipo3,tipo4,tipo5,tipo6,tipo7,tipo8,tipo9,tipo10,tipo11,tipo12,tipo13,tipo14,tipo15,tipo16,tipo17,tipo18,tipo19,tipo20
Ale,4443210,X-EO20-I,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4443293,X-EO21-I,6,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4443365,X-EO24-I,8,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4443463,X-EO25-I,8,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4446025,X-EO26-I,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4446296,X-EO31-I,4,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4455258,X-EO39-I,16,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4455342,X-EO47-I,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4455406,X-EO48-I,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4455849,X-EO50-I,7,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4459515,X-EO54-I,5,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4459572,X-EO55-I,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4459732,X-EO56-I,5,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4459740,X-EO64-I,21,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4459792,X-EO65A-I,5,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4459804,X-EO65B-I,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4459832,X-EO69-I,11,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4460622,X-EO71-I,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4460697,X-EO79-I,8,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4460768,X-EO96B-I,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4462180,X-EO96C-I,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4462202,X-EO100-I,18,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4462258,X-EO101-I,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4462264,X-EO104-I,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
