WKT;ID;LENGTH;DIR;LONGITUD;TIPO;MODE;NAME;AB_CARRIL;BA_CARRIL;AB_CAP;BA_CAP;AB_VEL;BA_VEL;AB_ALPHA;BA_ALPHA;AB_BETA;BA_BETA;AB_CAPAC;BA_CAPAC;AB_PRELOAD;BA_PRELOAD;AB_PRELOA1;BA_PRELOA1;AB_PRELOA2;BA_PRELOA2;AB_TMPPRV_;BA_TMPPRV_;AB_TMPPRVA;BA_TMPPRVA;AB_VELPRVA;BA_VELPRVA;AB_TMPPEAT;BA_TMPPEAT;AB_TMMETRO;BA_TMMETRO;AB_TMTREN;BA_TMTREN;AB_TMBUS;BA_TMBUS;MAXBUSSP;Y12;Y20;Y30
LINESTRING (-77.010265 -12.036459,-77.013183 -12.037036);13146;0.32;0;0.39;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.65;0.65;0.65;0.65;4;4;4.86;4.86;;;;;;;;1;1;1
LINESTRING (-77.002786 -12.018279,-77.003587 -12.019097,-77.004347 -12.019731,-77.005396 -12.020746,-77.00652 -12.021929,-77.00776 -12.02335);3334;0.78;0;0.78;1;;Los Proceres De La Independencia;3;3;1200;1200;60;60;1;1;3.81;3.81;3600;3600;699.56;452.93;566.31;412.01;726.3;451.39;0.78;0.78;1.39;0.86;26.19;57.75;11.71;11.71;;;1.34;1.34;1.87;1.87;25;1;1;1
LINESTRING (-77.011493 -12.012295,-77.00714 -12.012826,-77.005286 -12.01309,-77.002819 -12.013354,-77.002116 -12.013303);3340;1.03;0;1.03;2;;Los Tusilagos;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;85.34;50.06;22.78;20.8;22.78;20.8;1.37;1.37;1.37;1.37;30;30;15.43;15.43;;;1.76;1.76;2.47;2.47;25;1;1;1
LINESTRING (-77.002116 -12.013303,-77.002256 -12.012036,-77.002491 -12.011565,-77.004086 -12.008958,-77.00582 -12.005969);3343;0.92;0;0.92;1;;Los Proceres De La Independencia;4;4;1200;1200;60;60;1;1;3.81;3.81;4800;4800;760.54;1369.14;661.9;988.74;823.71;1369.88;0.92;0.92;1.13;1.77;47.51;27.22;13.75;13.75;;;1.57;1.57;2.2;2.2;25;1;1;1
LINESTRING (-77.006981 -12.029576,-77.005295 -12.029332,-77.003243 -12.028563,-77.001307 -12.027842);3347;0.65;0;0.65;2;;Malecon Miguel Checa Eguiguren;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;17.98;491.51;9.06;472.68;9.06;472.68;0.87;0.87;0.87;0.87;29.93;29.6;9.75;9.75;;;1.11;1.11;1.56;1.56;25;1;1;1
LINESTRING (-76.976582 -12.147596,-76.970659 -12.149907);13879;0.69;0;0.5;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;1.39;1.39;1.39;1.39;4;4;10.4;10.4;;;;;;;;1;1;1
LINESTRING (-77.007197 -12.027416,-77.006372 -12.027338,-77.006041 -12.027282,-77.005768 -12.027214,-77.005532 -12.027139,-77.003126 -12.02618,-77.001955 -12.025738);3353;0.6;1;0.6;5;;Gran Chimu;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;539.18;;318.67;;422.52;0;1.45;1.45;1.46;;24.81;;9.06;9.06;;;1.03;1.03;1.81;;20;1;1;1
LINESTRING (-77.000086 -11.996082,-77.000125 -11.993266,-77.000125 -11.992632,-76.999927 -11.992174);3358;0.44;0;0.44;2;;Santa Rosa De Lima;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;90.22;367.96;65.55;145.66;65.55;149.45;0.58;0.58;0.76;1.27;29.5;21.6;6.55;6.55;;;0.75;0.75;1.05;1.27;25;1;1;1
LINESTRING (-77.000086 -11.996082,-77.004809 -11.996244);3359;0.51;0;0.51;2;;Los Postes (Este);2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;128.79;122.84;16.54;43.96;16.54;43.96;0.69;0.69;0.69;0.69;30;30;7.72;7.72;;;0.88;0.88;1.24;1.24;25;1;1;1
LINESTRING (-76.999927 -11.992174,-77.004733 -11.990255);3361;0.56;0;0.56;2;;Jorge Basadre (Este);2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;291.8;233.24;27.82;39.16;27.82;61.85;0.75;0.75;0.76;0.76;30;30;8.47;8.47;;;0.97;0.97;1.36;1.36;25;1;1;1
LINESTRING (-77.004809 -11.996244,-77.004967 -11.992615,-77.004949 -11.990924,-77.004733 -11.990255);3364;0.67;0;0.67;2;;13 De Enero;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;951.98;445.26;105.64;209.23;105.64;209.23;0.89;0.89;1.07;1.54;29.98;25.1;10;10;;;1.14;1.14;1.6;1.6;25;1;1;1
LINESTRING (-77.004809 -11.996244,-77.004719 -11.999384,-77.004582 -11.999917,-77.004068 -12.000775,-77.002069 -12.003863);3365;0.92;0;0.92;2;;13 De Enero;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;294.8;793.22;141.62;83.77;141.62;83.77;1.23;1.23;2.08;1.35;26.48;30;13.85;13.85;;;1.58;1.58;2.22;2.22;25;1;1;1
LINESTRING (-77.004733 -11.990255,-77.002843 -11.985774);3367;0.54;0;0.54;2;;Lima;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;1297.33;557.63;133.46;271.08;133.46;271.08;0.72;0.72;0.9;0.89;29.91;25.31;8.05;8.05;;;0.92;0.92;1.29;1.29;25;1;1;1
LINESTRING (-76.933512 -12.207649,-76.935823 -12.209409);16039;0.32;0;0.28;31;100;Arco Peaton Tren;;;;;;;;;;;;;0;0;0;0;;;;;;;;;1;1;;;0.48;0.48;0.85;0.85;;1;1;1
LINESTRING (-77.003851 -11.978177,-77.008538 -11.974853);3371;0.63;0;0.63;5;;Del Parque;1;1;840;840;30;30;0.5;0.5;3.7;3.7;840;840;;;;;0;0;1.51;1.51;1.51;1.51;24.99;24.99;9.44;9.44;;;1.08;1.08;1.89;1.89;20;1;1;1
LINESTRING (-77.004774 -11.979679,-77.005404 -11.981246,-77.006055 -11.98304);3374;0.4;0;0.4;1;;Fernando Wiese;2;2;1200;1200;60;60;1;1;3.81;3.81;2400;2400;640.19;441.56;543.22;373.88;920.01;576.95;0.4;0.4;1.69;1.15;13.47;21.07;5.96;5.96;;;0.68;0.68;1.69;1.15;25;1;1;1
LINESTRING (-77.004774 -11.979679,-77.005764 -11.979221,-77.007168 -11.978552,-77.009742 -11.976861);3375;0.63;0;0.63;5;;El Bosque;1;1;840;840;30;30;0.5;0.5;3.7;3.7;840;840;69.61;60.45;12.85;36.38;12.85;36.38;1.5;1.5;1.5;1.5;25;25;9.39;9.39;;;1.07;1.07;1.88;1.88;20;1;1;1
LINESTRING (-77.008538 -11.974853,-77.004266 -11.968181);3376;0.87;0;0.87;1;;Canto Grande;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;1224.45;1895.49;670.5;904.69;670.5;904.69;1.16;1.16;1.69;3.49;33.86;20.97;13.09;13.09;;;1.5;1.5;2.09;3.49;25;1;1;1
LINESTRING (-77.005285 -11.990568,-77.010748 -11.989901);13710;0.6;0;0.48;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;1.2;1.2;1.2;1.2;4;4;8.99;8.99;;;;;;;;1;1;1
LINESTRING (-77.002843 -11.985774,-77.00669 -11.984829);3379;0.43;0;0.43;2;;El Sol;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;121.22;19.27;47.84;15.3;47.84;15.3;0.58;0.58;0.58;0.59;28.72;26.91;6.48;6.48;;;0.74;0.74;1.04;1.04;25;1;1;1
LINESTRING (-77.010246 -11.946905,-77.004753 -11.950647);3384;0.73;0;0.73;5;;Miguel Grau;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;31.71;21.94;1.75;1.75;1.75;1.75;25;25;10.91;10.91;;;1.25;1.25;2.18;2.18;20;1;1;1
LINESTRING (-77.004753 -11.950647,-77.005749 -11.95233);3385;0.22;0;0.22;5;;Integracion;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;47.02;30.29;0.52;0.52;0.52;0.52;25;25;3.23;3.23;;;0.37;0.37;0.65;0.65;20;1;1;1
LINESTRING (-77.009128 -11.965193,-77.006684 -11.961396,-77.005373 -11.959333,-77.004248 -11.957958,-77.002562 -11.957134,-77.00077 -11.956824);3386;1.36;0;1.36;5;;Jose Carlos Mariategui;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;406.51;485.01;258.97;338.16;258.97;338.16;3.28;3.28;3.28;3.55;24.98;24.88;20.47;20.47;;;2.34;2.34;4.09;4.09;20;1;1;1
LINESTRING (-77.009128 -11.965193,-77.004266 -11.968181);3387;0.62;0;0.62;2;;San Martin De Porres;2;2;960;960;25;45;0.8;0.8;3.68;3.68;1920;1920;500.89;420.97;347.66;264.13;347.66;264.13;1.5;0.83;1.59;0.83;24.97;24.99;9.36;9.36;;;1.07;1.07;1.59;1.5;25;1;1;1
LINESTRING (-77.004824 -11.952862,-77.002217 -11.954433);3391;0.33;0;0.33;5;;Los Tulipanes (Rio Misisipi);2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;78.66;43.38;0.8;0.8;0.8;0.8;20.88;24.99;4.99;4.99;;;0.57;0.57;1;1;20;1;1;1
LINESTRING (-77.002069 -12.003863,-77.00582 -12.005969);3400;0.47;0;0.47;2;101;Jardines (Este);2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;1247.31;1858.11;306.65;146.35;306.65;146.35;0.63;0.63;0.83;1.34;25.64;28.22;7.05;7.05;;;0.81;0.81;1.13;1.34;25;1;1;1
LINESTRING (-77.004356 -12.031449,-77.009038 -12.033997);3407;0.58;1;0.58;4;;Via De Evitamiento;3;3;1800;1800;80;80;1;1;4.25;4.25;5400;5400;1066.58;;700.69;;1163.31;0;0.44;0.44;1.61;;15.14;;;;;;1;1;1.61;;25;1;1;1
LINESTRING (-77.00702 -12.036342,-76.998656 -12.03285);3408;0.99;0;0.99;5;;Las Magnolias;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;490.62;627.84;245.36;276.45;245.36;276.45;2.37;2.37;2.39;2.41;24.99;24.97;14.84;14.84;;;1.7;1.7;2.97;2.97;20;1;1;1
LINESTRING (-77.00702 -12.036342,-77.00239 -12.034002);3411;0.57;0;0.43;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;1.13;1.13;1.13;1.13;4;4;8.5;8.5;;;;;;;;1;1;1
LINESTRING (-77.010748 -11.989901,-77.010936 -11.99072,-77.011075 -11.991557,-77.011065 -11.992175,-77.010904 -11.992992,-77.01024 -11.995368,-77.00963 -11.997255);3412;0.84;0;0.84;1;;Proceres De La Independencia;4;4;1200;1200;60;60;1;1;3.81;3.81;4800;4800;894.61;585.99;715.36;493.88;1096.05;700.76;0.84;0.84;1.37;1.09;28.04;44.13;12.58;12.58;;;1.44;1.44;2.01;2.01;25;1;1;1
LINESTRING (-77.007659 -12.018748,-77.006251 -12.017852,-77.006145 -12.017741,-77.005714 -12.017475,-77.00557 -12.017408,-77.005411 -12.017371,-77.004851 -12.01746);3418;0.35;0;0.35;5;;Los Liquenes;1;1;840;840;30;30;0.5;0.5;3.7;3.7;840;840;449.03;922.06;131.86;157.85;131.86;157.85;0.84;0.84;0.89;1.44;24.88;24.92;5.28;5.28;;;0.6;0.6;1.06;1.44;20;1;1;1
LINESTRING (-77.015252 -11.990098,-77.014998 -11.991473,-77.014941 -11.991936,-77.014998 -11.99227,-77.015111 -11.994872,-77.015092 -11.995617,-77.015253 -11.996126,-77.015461 -11.996645);3420;0.73;0;0.73;1;;Canto Grande;2;2;1200;1200;45;45;0.8;0.8;3.68;3.68;2400;2400;1526.21;1117.87;773.7;644.17;773.7;644.17;0.98;0.98;1.49;1.08;31.9;42.73;11.02;11.02;;;1.26;1.26;1.76;1.76;25;1;1;1
LINESTRING (-76.993998 -11.975873,-76.995442 -11.976656,-76.9968 -11.978352,-76.998931 -11.981567);3426;0.84;0;0.84;5;;Los Ciruelos;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;2.02;2.02;2.02;2.02;25;25;12.65;12.65;;;1.45;1.45;2.53;2.53;20;1;1;1
LINESTRING (-77.008961 -12.034119,-77.005039 -12.031969);3430;0.49;1;0.49;4;;Via De Evitamiento;3;3;1800;1800;80;80;1;1;4.25;4.25;5400;5400;1372.65;;702.29;;1060.9;0;0.37;0.37;0.72;;41.7;;;;;;0.84;0.84;1.17;;25;1;1;1
LINESTRING (-77.008325 -12.03483,-77.002791 -12.031809);3434;0.69;0;0.69;5;;Las Gardenias;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;1.65;1.65;1.65;1.65;25;25;10.34;10.34;;;1.18;1.18;2.07;2.07;20;1;1;1
LINESTRING (-77.006828 -12.052176,-77.003693 -12.052834);3436;0.35;0;0.35;5;;Tupac Amaru;1;1;840;840;30;30;0.5;0.5;3.7;3.7;840;840;361.5;;239.27;;272.59;0;0.84;0.84;0.86;0.84;22.3;24.91;5.24;5.24;;;0.6;0.6;1.05;1.05;20;1;1;1
LINESTRING (-77.003168 -12.023975,-77.009598 -12.025334);3439;0.72;0;0.49;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;1.43;1.43;1.43;1.43;4;4;10.74;10.74;;;;;;;;1;1;1
LINESTRING (-77.006945 -11.957595,-77.00077 -11.956824);13703;0.68;0;0.53;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;1.36;1.36;1.36;1.36;4;4;10.17;10.17;;;;;;;;1;1;1
LINESTRING (-77.058944 -12.023471,-77.058921 -12.025093,-77.058778 -12.026044);1032;0.29;1;0.29;1;;Alfredo Mendiola;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;2547.46;;1591;;2013.2;0;0.38;0.38;0.63;;30.02;;4.29;4.29;;;0.49;0.49;0.69;;25;1;1;1
LINESTRING (-77.059094 -12.020926,-77.05915 -12.020513);10521;0.05;1;0.05;1;;Alfredo Mendiola;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;1277.61;;938.86;;1164.33;0;0.06;0.06;0.07;;34.42;;0.69;0.69;;;0.08;0.08;0.11;;25;1;1;1
LINESTRING (-77.035806 -12.03011,-77.038711 -12.033764);1037;0.51;0;0.51;2;;Tarapaca;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;268.32;58.1;131.86;49.03;131.86;49.03;0.68;0.68;0.69;0.69;29.99;29.84;7.7;7.7;;;0.88;0.88;1.23;1.23;25;1;1;1
LINESTRING (-77.035806 -12.03011,-77.039975 -12.026739);1038;0.59;0;0.59;2;;Guardia Republicana;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;171.1;315;182.48;160.14;182.48;160.14;0.78;0.78;0.78;0.79;29.91;29.93;8.81;8.81;;;1.01;1.01;1.41;1.41;25;1;1;1
LINESTRING (-77.039975 -12.026739,-77.037047 -12.023654);1046;0.47;0;0.47;2;;Morro De Arica;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;225.38;112.03;127.63;92.64;179.15;147.49;0.62;0.62;0.62;0.63;29.97;29.9;7.01;7.01;;;0.8;0.8;1.12;1.12;25;1;1;1
LINESTRING (-77.038681 -12.035262,-77.03636 -12.037345);1048;0.34;1;0.34;2;;Proceres;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;654.73;;429.82;;615.47;0;0.46;0.46;0.82;;22.91;;5.13;5.13;;;0.59;0.59;0.82;;25;1;1;1
LINESTRING (-77.034071 -12.02634,-77.037047 -12.023654);1051;0.44;0;0.44;2;;Coronel Samuel Alcazar;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;112.03;225.38;92.64;127.63;147.49;179.15;0.59;0.59;0.6;0.59;29.9;29.97;6.59;6.59;;;0.75;0.75;1.06;1.06;25;1;1;1
LINESTRING (-77.034071 -12.02634,-77.031671 -12.023625);1052;0.4;0;0.4;5;;Los Amancaes;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;175.64;301.49;175.08;296.12;175.08;296.12;0.96;0.96;0.96;0.96;24.44;20.75;5.97;5.97;;;0.68;0.68;1.19;1.19;20;1;1;1
LINESTRING (-77.043902 -11.969776,-77.043599 -11.969734,-77.043207 -11.969703,-77.042904 -11.969668,-77.0427 -11.969629);11747;0.13;0;0.13;5;;Huaytapampa;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.32;0.32;0.32;0.32;25;25;1.98;1.98;;;0.23;0.23;0.4;0.4;20;1;1;1
LINESTRING (-77.044266 -12.028385,-77.044365 -12.028192,-77.047171 -12.025574,-77.048139 -12.024679);1060;0.59;1;0.59;1;;Tupac Amaru;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;895.27;;713.95;;884.75;0;0.79;0.79;0.83;;43.63;;8.84;8.84;;;1.01;1.01;1.41;;25;1;1;1
LINESTRING (-77.04211 -12.026383,-77.04396 -12.02897);16011;0.35;0;0.28;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.7;0.7;0.7;0.7;4;4;5.25;5.25;;;;;;;;1;1;1
LINESTRING (-77.049978 -12.023303,-77.050008 -12.023465,-77.048391 -12.024885);1066;0.25;1;0.25;1;;Tupac Amaru;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;953.02;;567.36;;810.17;0;0.34;0.34;0.88;;17.19;;3.81;3.81;;;0.44;0.44;0.88;;25;1;1;1
LINESTRING (-77.032307 -12.038755,-77.037879 -12.034403);1071;0.77;1;0.77;2;;Francisco Pizarro;3;3;960;960;45;45;0.8;0.8;3.68;3.68;2880;2880;749.01;;449.72;;449.72;0;1.03;1.03;1.06;;29.98;;11.62;11.62;;;1.33;1.33;1.86;;25;1;1;1
LINESTRING (-77.037879 -12.034403,-77.034634 -12.031663);1074;0.47;0;0.46;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.93;0.93;0.93;0.93;4;4;6.98;6.98;;;;;;;;1;1;1
LINESTRING (-77.066733 -12.024791,-77.065002 -12.026341);1079;0.25;0;0.25;5;;John F. Kennedy;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.61;0.61;0.61;0.61;25;25;3.82;3.82;;;0.44;0.44;0.76;0.76;20;1;1;1
LINESTRING (-77.054648 -12.026483,-77.052109 -12.024732);1084;0.34;0;0.34;2;;Eduardo De Habich;3;3;960;960;45;45;0.8;0.8;3.68;3.68;2880;2880;502.98;407.97;403.03;298.08;406.68;385.21;0.45;0.45;0.45;0.45;29.98;29.96;5.06;5.06;;;0.58;0.58;0.81;0.81;25;1;1;1
LINESTRING (-77.054648 -12.026483,-77.055289 -12.025563);1087;0.12;0;0.12;5;;Dario Valdizan;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.3;0.3;0.3;0.3;25;25;1.85;1.85;;;0.21;0.21;0.37;0.37;20;1;1;1
LINESTRING (-77.056204 -12.031228,-77.056328 -12.031124,-77.056866 -12.03039,-77.057456 -12.029474,-77.057614 -12.029173,-77.05788 -12.028595,-77.057988 -12.028288,-77.05809 -12.027965,-77.058166 -12.027661,-77.058218 -12.027426,-77.058245 -12.027252,-77.058419 -12.026084,-77.059066 -12.021887);1090;1.1;1;1.1;4;;Panamericana Norte;3;3;1800;1800;80;80;1;1;4.25;4.25;5400;5400;;;;;0;0;0.82;0.82;0.97;;73.23;;;;;;1.89;1.89;2.64;;25;1;1;1
LINESTRING (-77.057785 -12.025967,-77.057555 -12.025865,-77.057283 -12.025673,-77.056693 -12.0252);1092;0.15;0;0.15;5;;Honorio Delgado;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;796.04;;105.99;;105.99;0;0.35;0.35;0.36;0.35;25;25;2.2;2.2;;;0.25;0.25;0.44;0.44;20;1;1;1
LINESTRING (-77.060491 -12.011819,-77.060489 -12.011471,-77.060512 -12.011261,-77.060546 -12.011068,-77.060621 -12.010583,-77.06068 -12.010223,-77.060876 -12.009177);11244;0.3;1;0.3;1;;Alfredo Mendiola;3;3;1200;1200;45;45;0.8;0.8;3.68;3.68;3600;3600;1625.39;;1189.53;;1189.53;0;0.39;0.39;0.43;;42.01;;4.44;4.44;;;0.51;0.51;0.71;;25;1;1;1
LINESTRING (-77.034057 -12.007888,-77.036402 -12.006871);13633;0.28;0;0.28;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.56;0.56;0.56;0.56;4;4;4.19;4.19;;;;;;;;1;1;1
LINESTRING (-77.041119 -12.037363,-77.038231 -12.038199,-77.036156 -12.039802,-77.035962 -12.03996,-77.035811 -12.040073,-77.035646 -12.040185,-77.035484 -12.04028,-77.035322 -12.040375,-77.035203 -12.040431,-77.034999 -12.040519);1782;0.76;1;0.76;4;;Via De Evitamiento;3;3;1800;1800;80;80;1;1;4.25;4.25;5400;5400;1496.52;;898;;1146.61;0;0.57;0.57;0.88;;46.54;;;;;;1.31;1.31;1.83;;25;1;1;1
LINESTRING (-77.035944 -12.039848,-77.036124 -12.039711,-77.036203 -12.03963,-77.038163 -12.038074);1791;0.31;1;0.31;4;;Via De Evitamiento;3;3;1800;1800;80;80;1;1;4.25;4.25;5400;5400;1033.1;;651.96;;1030.03;0;0.23;0.23;0.24;;75.45;;;;;;0.53;0.53;0.75;;25;1;1;1
LINESTRING (-77.048842 -12.018644,-77.048604 -12.024504);13632;0.65;0;0.61;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;1.3;1.3;1.3;1.3;4;4;9.73;9.73;;;;;;;;1;1;1
LINESTRING (-77.028736 -12.026121,-77.02658 -12.024028);1980;0.33;0;0.33;5;;Jose Santos Chocano;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.79;0.79;0.79;0.79;25;25;4.95;4.95;;;0.57;0.57;0.99;0.99;20;1;1;1
LINESTRING (-77.028736 -12.026121,-77.030233 -12.024726);1981;0.22;0;0.22;5;;Cajatambo (Lorenzo Encalada);2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;183.38;25.04;180.55;24.26;203.83;24.26;0.54;0.54;0.54;0.54;24.67;24.8;3.37;3.37;;;0.38;0.38;0.67;0.67;20;1;1;1
LINESTRING (-77.02658 -12.024028,-77.025699 -12.024831,-77.025346 -12.025187,-77.025174 -12.025501,-77.02511 -12.025752,-77.025132 -12.025941,-77.025324 -12.026066,-77.025613 -12.026139,-77.025999 -12.026129,-77.026299 -12.026213,-77.02662 -12.026433,-77.026802 -12.026642,-77.026919 -12.027155,-77.026945 -12.027602);2023;0.59;0;0.59;5;;El Sol;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;0;39.6;0;5.78;4.33;5.78;1.41;1.41;1.41;1.41;25;25;8.84;8.84;;;1.01;1.01;1.77;1.77;20;1;1;1
LINESTRING (-77.039487 -11.980478,-77.037708 -11.979999);10686;0.2;0;0.2;5;;Coricancha;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;16.78;0;0.48;0.48;0.48;0.48;25;25;3.01;3.01;;;0.34;0.34;0.6;0.6;20;1;1;1
LINESTRING (-77.055289 -12.025563,-77.056008 -12.026033);2176;0.09;0;0.09;5;;Manuel Villar;1;1;840;840;30;30;0.5;0.5;3.7;3.7;840;840;;;;;0;0;0.23;0.23;0.23;0.23;25;25;1.41;1.41;;;0.16;0.16;0.28;0.28;20;1;1;1
LINESTRING (-77.056693 -12.0252,-77.056008 -12.026033);2301;0.12;0;0.12;5;;Vargas Machuca;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.28;0.28;0.28;0.28;24.29;25;1.78;1.78;;;0.2;0.2;0.36;0.36;20;1;1;1
LINESTRING (-77.009598 -12.025334,-77.009046 -12.02585,-77.008689 -12.026186,-77.007944 -12.026884,-77.007903 -12.026997);3442;0.26;0;0.26;5;;Las Chullpas;1;1;840;840;30;30;0.5;0.5;3.7;3.7;840;840;;;;;0;0;0.63;0.63;0.63;0.63;24.15;25;3.93;3.93;;;0.45;0.45;0.79;0.79;20;1;1;1
LINESTRING (-77.010117 -12.025804,-77.01031 -12.026059,-77.010673 -12.0268,-77.011442 -12.028467);3447;0.33;0;0.33;1;;Los Proceres De La Independencia;3;3;1200;1200;60;60;1;1;3.81;3.81;3600;3600;1627.23;916.58;1192.39;784.38;1394.15;939.37;0.33;0.33;0.96;0.43;16.13;51.34;4.93;4.93;;;0.56;0.56;0.96;0.79;25;1;1;1
LINESTRING (-77.011949 -12.025249,-77.013149 -12.025416,-77.013734 -12.025636,-77.014058 -12.025724,-77.019983 -12.026391);3452;0.89;0;0.89;5;;Lima;1;1;840;840;30;30;0.5;0.5;3.7;3.7;840;840;44.95;;5.46;;7.69;6.28;1.18;1.18;1.7;1.18;15.76;45;13.29;13.29;;;1.52;1.52;2.66;2.66;20;1;1;1
LINESTRING (-77.011949 -12.025249,-77.015341 -12.027951);3453;0.48;0;0.5;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.95;0.95;0.95;0.95;4;4;7.13;7.13;;;;;;;;1;1;1
LINESTRING (-77.038041 -12.057918,-77.036368 -12.057733);4448;0.18;-1;0.18;5;;Espana;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.44;0.44;;0.44;;25;2.75;2.75;;;0.31;0.31;;0.55;20;1;1;1
LINESTRING (-77.037493 -12.046415,-77.038126 -12.047333);6423;0.12;0;0.12;2;;Tacna;4;4;960;960;45;45;0.8;0.8;3.68;3.68;3840;3840;1526.58;856;925.39;586.91;1359.57;822.05;0.16;0.16;0.24;0.17;25.41;29.83;1.84;1.84;;;0.21;0.21;0.29;0.29;25;1;1;1
LINESTRING (-77.037493 -12.046415,-77.038434 -12.045838);6425;0.12;1;0.12;2;;Emancipacion;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;36.58;;34.62;;34.62;0;0.16;0.16;0.17;;30;;1.81;1.81;;;0.21;0.21;0.29;;25;1;1;1
LINESTRING (-77.036246 -12.050765,-77.03721 -12.050071);6427;0.13;0;0.13;2;;Nicolas De Pierola;2;2;960;960;25;45;0.8;0.8;3.68;3.68;1920;1920;;17.9;;17.18;0;17.31;0.31;0.17;0.31;0.2;25;24.69;1.95;1.95;;;0.22;0.22;0.31;0.31;25;1;1;1
LINESTRING (-77.036246 -12.050765,-77.036339 -12.051109,-77.036463 -12.051284);6428;0.06;1;0.06;5;;Camana;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.15;0.15;0.15;;25;;0.79;0.79;;;0.11;0.11;0.19;;20;1;1;1
LINESTRING (-77.037611 -12.05297,-77.03737 -12.053605,-77.037388 -12.054106);6433;0.13;1;0.13;5;;Camana;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.31;0.31;0.31;;20.56;;1.96;1.96;;;0.22;0.22;0.39;;20;1;1;1
LINESTRING (-77.037754 -12.044931,-77.03685 -12.045479);6434;0.12;1;0.12;5;;Huancavelica;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.28;0.28;0.28;;24.45;;1.73;1.73;;;0.2;0.2;0.35;;20;1;1;1
