WKT;ID;LENGTH;DIR;LONGITUD;TIPO;MODE;NAME;AB_CARRIL;BA_CARRIL;AB_CAP;BA_CAP;AB_VEL;BA_VEL;AB_ALPHA;BA_ALPHA;AB_BETA;BA_BETA;AB_CAPAC;BA_CAPAC;AB_PRELOAD;BA_PRELOAD;AB_PRELOA1;BA_PRELOA1;AB_PRELOA2;BA_PRELOA2;AB_TMPPRV_;BA_TMPPRV_;AB_TMPPRVA;BA_TMPPRVA;AB_VELPRVA;BA_VELPRVA;AB_TMPPEAT;BA_TMPPEAT;AB_TMMETRO;BA_TMMETRO;AB_TMTREN;BA_TMTREN;AB_TMBUS;BA_TMBUS;MAXBUSSP;Y12;Y20;Y30
LINESTRING (-77.042525 -12.119231,-77.042496 -12.119179,-77.042456 -12.119093,-77.042445 -12.119007);5881;0.03;1;0.03;2;;Plaza Centro America;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;418.45;;140.62;;430.5;0;0.04;0.04;0.04;;29.85;;0.4;0.4;;;0.05;0.05;0.06;;25;1;1;1
LINESTRING (-77.042298 -12.119466,-77.042525 -12.119231);5869;0.04;0;0.04;5;;Aviacion;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.09;0.09;0.09;0.09;25;25;0.54;0.54;;;0.06;0.06;0.11;0.11;20;1;1;1
LINESTRING (-77.042445 -12.119007,-77.042456 -12.11892,-77.042493 -12.118849,-77.042547 -12.118786,-77.042622 -12.118726);5873;0.04;1;0.04;2;;Plaza Centro America;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;269.52;;92.4;;253.8;0;0.05;0.05;0.05;;29.53;;0.57;0.57;;;0.07;0.07;0.09;;25;1;1;1
LINESTRING (-77.042256 -12.117893,-77.041923 -12.117082);5832;0.1;0;0.1;2;;Santa Cruz;1;1;960;960;45;45;0.8;0.8;3.68;3.68;960;960;245.72;268.04;113.95;121.39;284.22;277.51;0.13;0.13;0.13;0.13;29.5;28.72;1.45;1.45;;;0.17;0.17;0.23;0.23;25;1;1;1
LINESTRING (-77.028628 -12.110635,-77.025769 -12.113647);13591;0.46;0;0.39;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.91;0.91;0.91;0.91;4;4;6.84;6.84;;;;;;;;1;1;1
LINESTRING (-77.040645 -12.12118,-77.041255 -12.120542);5548;0.1;0;0.1;5;;Aviacion;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.23;0.23;0.23;0.23;25;25;1.45;1.45;;;0.17;0.17;0.29;0.29;20;1;1;1
LINESTRING (-77.041229 -12.120104,-77.041255 -12.120542);5876;0.05;0;0.05;5;;Comandante Juan Moore;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.12;0.12;0.12;0.12;25;25;0.73;0.73;;;0.08;0.08;0.15;0.15;20;1;1;1
LINESTRING (-77.038969 -12.120151,-77.039235 -12.1209);5677;0.09;0;0.39;99;100;Conector;1;1;99999;99999;4;4;0;0;2;2;99999;99999;0;0;0;0;;;0.18;0.18;0.18;0.18;4;4;1.32;1.32;;;;;;;;1;1;1
LINESTRING (-77.040063 -12.117897,-77.040082 -12.118702);5746;0.09;1;0.09;5;;Cesareo Chacaltana;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.21;0.21;0.21;;25;;1.34;1.34;;;0.15;0.15;0.27;;20;1;1;1
LINESTRING (-77.040296 -12.1188,-77.041172 -12.117896);5882;0.14;1;0.14;5;;Mariscal Jose De La Mar (Oscar Valde;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;11.81;;7.89;;17.5;0;0.33;0.33;0.33;;25;;2.07;2.07;;;0.24;0.24;0.41;;20;1;1;1
