ruta_id,nombre
4464686,X-EO121-I,2015-01-24T00:48:46Z,GRPIAA
4464806,X-EO122-I,2015-01-20T13:02:04Z,GRPIAA
4464855,X-EO123-I,2015-01-22T21:13:06Z,GRPIAA3
4464913,X-EO126-I,2015-01-24T00:18:14Z,GRPIAA
4466970,X-ICR01-I,2015-01-12T22:35:46Z,jdaniel14
4467006,X-ICR02-I,2015-01-12T22:35:46Z,jdaniel14
4467064,X-ICR02B-I,2015-01-12T22:35:46Z,jdaniel14
4467102,X-ICR05-I,2015-01-24T01:11:35Z,GRPIAA
4467149,X-ICR06-I,2015-01-12T22:46:34Z,jdaniel14
4467284,X-ICR13-I,2015-01-24T00:38:51Z,GRPIAA
4467454,X-ICR14-I,2015-01-22T18:37:15Z,GRPIAA
4467486,X-ICR15-I,2015-01-23T14:31:15Z,GRPIAA3
4467510,X-IM01-I,2015-01-24T00:38:51Z,GRPIAA
4467530,X-IM02-I,2015-01-12T22:35:47Z,jdaniel14
4470459,X-IM03-I,2015-01-24T00:48:46Z,GRPIAA
4470605,X-IM04-I,2015-01-22T18:37:16Z,GRPIAA
4470758,X-IM06-I,2015-01-14T19:14:20Z,GRPIAA
4470877,X-IM08-I,2015-01-24T01:11:35Z,GRPIAA
4470960,X-IM09-I,2015-01-12T04:42:04Z,GRPIAA
4471022,X-IM10-I,2015-01-22T22:08:40Z,GRPIAA
4471025,X-IM11-I,2015-01-23T17:36:54Z,GRPIAA3
4471042,X-IM12-I,2015-01-22T21:35:14Z,GRPIAA3
4471051,X-IM14-I,2015-01-24T00:38:53Z,GRPIAA
4471063,X-IM15-I,2015-01-22T18:37:16Z,GRPIAA
4471074,X-IM16-I,2015-01-22T22:00:52Z,GRPIAA3
4471082,X-IM18-I,2015-01-19T21:09:10Z,GRPIAA3
4471136,X-IM19-I,2015-01-24T01:11:36Z,GRPIAA
4475362,X-IM20-I,2015-01-14T17:05:26Z,GRPIAA3
4475645,X-IM21-I,2015-01-22T21:13:08Z,GRPIAA3
4476395,X-IM22-I,2015-01-12T05:03:30Z,GRPIAA
4476425,X-IM24-I,2015-01-24T01:11:37Z,GRPIAA
4476477,X-IM25-I,2015-01-24T00:37:10Z,GRPIAA
4476537,X-IM26-I,2015-01-24T01:11:35Z,GRPIAA
4476549,X-IM29-I,2015-01-22T18:37:13Z,GRPIAA
4479736,X-IM31-I,2015-01-24T01:11:34Z,GRPIAA
4479831,X-IM32-I,2015-01-22T20:16:27Z,GRPIAA3
4480094,X-IM33-I,2015-01-22T22:00:52Z,GRPIAA3
4480142,X-IM34-I,2015-01-22T22:10:53Z,GRPIAA
4480173,X-IM34B-I,2015-01-24T00:38:50Z,GRPIAA
4480182,X-IM35-I,2015-01-22T21:13:07Z,GRPIAA3
4480192,X-IM40-I,2015-01-24T00:37:08Z,GRPIAA
4486701,X-IM41_I,2015-01-24T01:11:36Z,GRPIAA
